gene_id,length,HSC_1,HSC_2,CMP_1,CMP_2,CFUE_1,CFUE_2,Eryth_1,Eryth_2
ENSMUSG00000000365,5148,111,278,251,527,39,0,2,1
ENSMUSG00000000374,5048,1421,2008,1697,4349,6410,4367,420,594
ENSMUSG00000000378,1198.72,1129,1203,595,1981,314,405,37,85
ENSMUSG00000000381,659.33,0,1,0,0,0,0,0,0
ENSMUSG00000000384,1291.84,562.48,853,784.39,2853.93,159,77,57,82
ENSMUSG00000000385,3159,0,0,0,0,0,0,0,0
ENSMUSG00000000386,2731.64,355.02,285,145,362,125,83,25,29
ENSMUSG00000000392,1166.96,30,125,0,30,274,96,16,7
ENSMUSG00000000394,836.33,0,0,0,0,0,0,0,11
ENSMUSG00000000399,1322,1603,3291,2239,5981,1474,371,141,155
ENSMUSG00000000402,2704,0,0,0,0,0,0,0,0
ENSMUSG00000000409,1215.79,519,804,94,321,303,126,19,0
ENSMUSG00000000411,1280,0,0,0,0,0,0,13,6
ENSMUSG00000000416,3982,4,0,0,0,0,4,7,28
ENSMUSG00000000420,3607,8072,16436,11714,34186,7905,6615,1397,2013
ENSMUSG00000000435,2083,0,0,0,0,0,0,0,0
ENSMUSG00000000439,2240,968,1436,788,2981,337,86,11.33,10.94
ENSMUSG00000000440,1769,44,20,17,0,176,70,50,17
ENSMUSG00000000441,2937.8,3080,5073,2336,7269,1222,1087,223.67,302.06
ENSMUSG00000000486,1183.24,2054,4452,812,2390,443,475,411,845
ENSMUSG00000000489,2918,24,36,4,93,94,0,0,0
ENSMUSG00000000530,2295.61,142,108,12,100,4,27,34,43
ENSMUSG00000000531,2013,201,314,134,170,0,0,0,0
ENSMUSG00000000532,4413,1152,2826,729,2441,110,69,11,7
ENSMUSG00000000538,3061.06,522,834,168,1139,168,117,22.33,49
ENSMUSG00000000544,1507,0,0,0,0,0,0,0,0
ENSMUSG00000000552,2291,116,145,198,351,14,19,20,65
ENSMUSG00000000555,4379,455,634,738,1735,14,18,37,182
ENSMUSG00000000560,2392,0,0,0,0,0,0,0,0
ENSMUSG00000000561,3293.57,1965,3524,2045,7749.53,487,292,191.34,283.31
ENSMUSG00000000562,2370,15,0,39,28,0,0,3,0
ENSMUSG00000000563,1457.84,6151.75,13974.97,9249.78,22706.3,4808.78,3311.68,649.45,1171.25
ENSMUSG00000000567,4135,2,0,0,0,0,0,0,0
ENSMUSG00000000568,1420.14,1921,5115,2990,12173,3329,2080,550,703.99
ENSMUSG00000000579,1889.11,517.74,481.07,417.15,955.51,266.97,244.12,72.13,49.99
ENSMUSG00000000581,1282.76,1408,2719,1536,4761,245,560,77,180
ENSMUSG00000000594,4127,4390,7230,4463,12256,1174,508,340,516
ENSMUSG00000000600,6084.71,2343,4874,2319,6314,2294,1441,263,307
ENSMUSG00000000605,4578,2385,3386,2483,4983,739,609,63,116
ENSMUSG00000000606,2751.33,0,0,0,0,0,0,0,0
ENSMUSG00000000617,3347.25,0,22,0,0,0,0,0,41
ENSMUSG00000000627,4086,7,55,0,0,0,15,0,1
ENSMUSG00000000628,4614.14,2005,4303,1450,4890,525,288,93,125
ENSMUSG00000000631,3155.87,4009,8600,4237,13011,1504,927,76,116
ENSMUSG00000000632,2635.22,0,0,0,0,0,0,0,0
ENSMUSG00000000673,1222,275,292,297,558,62,16,23,86
ENSMUSG00000000682,514,1675,2461,1024,3156,1340,406,423,695
ENSMUSG00000000686,2487.65,615,787,231,999,38,28,31,1
ENSMUSG00000000690,1964,10,56,0,0,0,0,0,0
ENSMUSG00000000693,4098,121,111,55,185,35,117,74.21,104.15
ENSMUSG00000000701,1039,0,0,0,0,0,0,0,0
ENSMUSG00000000706,2250,0,18,0,0,101,12,45,53
ENSMUSG00000000708,2495.25,1581,3124,1201,3976,2829,2230,165.98,184
ENSMUSG00000000711,3166,2065.03,2836.66,1126.59,3718.15,2812,1015.56,391,397
ENSMUSG00000000724,1077.5,0,0,0,0,0,0,2,2
ENSMUSG00000000730,1657,15,35,0,34,35,0,0,0
ENSMUSG00000000731,2966,38,116,0,0,0,0,0,0
ENSMUSG00000000732,2756,152,183,11,84,25,0,23,12
ENSMUSG00000000738,1551.3,1193,2688,1266,3647,1306,1437,39,63
ENSMUSG00000000739,793.17,0,0,0,0,0,0,0,0
ENSMUSG00000000740,783.89,24732.55,55487.03,29687.46,86781.88,8474.34,4375.76,603.82,827.07
ENSMUSG00000000743,2082.56,966.89,881,624,2233.86,775,447,22,207
ENSMUSG00000000751,2564.4,4751,9425,5692,16231,5374,3900,192,205
ENSMUSG00000000753,1214.86,1005,1758,1307,3746,0,18,10,47
ENSMUSG00000000759,2498.59,1995,4403,2084,6213,3821,2645,223,243
ENSMUSG00000000766,1472.48,0,0,0,0,0,0,0,0
ENSMUSG00000000776,2040.7,605,1138,478,2314,19,26,15,13
ENSMUSG00000000782,2471,45,49,33,122,45,92,10,17
ENSMUSG00000000787,3659.56,28189,62695,31323,89620,9283,4529,865,1477
ENSMUSG00000000791,2873,342,407,107,182,31,4,0,0
ENSMUSG00000000792,2928,0,0,5,16,0,6,0,0
ENSMUSG00000000794,4069,0,0,0,0,0,0,0,0
ENSMUSG00000000804,4557.28,1444,2088,1626,5395,33848,19596,5861,8671
ENSMUSG00000000805,679,0,0,0,0,0,0,0,0
ENSMUSG00000000811,2836,594,1821,604,1571,0,49,13,26
ENSMUSG00000000817,1937,17,23,0,0,0,0,0,0
ENSMUSG00000000823,2966.57,1564,2175,879,3185,88,22,33,45
ENSMUSG00000000826,5494.7,3185,5075,2446,7394,3062,1527,172,355
ENSMUSG00000000827,1467.91,2291,4746,2339,6990,1253,1079,141,200
ENSMUSG00000000838,2706.68,3059.54,7478,5135,13896.16,6147,5226,529.7,971
ENSMUSG00000000861,4667.52,4917,7448,4210,16645,1156,511,240,250.63
ENSMUSG00000000869,605,2,28,1,13,0,0,2,0
ENSMUSG00000000876,2378.22,525,849,529,1242,625,282,48,88
ENSMUSG00000000881,3339.96,805,1797,691,2406,32,28,9,1
ENSMUSG00000000884,3569,133,155,239,301,0,13,27,57
ENSMUSG00000000889,1378.5,0,0,0,0,0,0,0,0
ENSMUSG00000000901,478.9,73,44,1,32,24,0,0,1
ENSMUSG00000000902,1877.84,1620,3926,1858,5995,2594,1309,52,166
ENSMUSG00000000903,677,0,0,0,0,276,208,0,0
ENSMUSG00000000915,3632.43,2172,2682,763,2640,582,159,37,32
ENSMUSG00000000916,2138.37,527,973,682,1269,215,83,39.92,40.78
ENSMUSG00000000934,1903,264,624,403,1407,7,0,17,1
ENSMUSG00000000938,1846.65,399,501,61,151,6,0,0,0
ENSMUSG00000000942,1594,16,57,33,16,0,0,0,0
ENSMUSG00000000948,1502,0,41,0,0,0,0,0,0
ENSMUSG00000000957,2597,141,453,460,1610,96,38,4,47
ENSMUSG00000000958,2142,49,127,55,344,57,40,18,31
ENSMUSG00000000959,2534,808,1498,727,3023,260,185,86,128
ENSMUSG00000000976,4584.8,902,1765,907,3185,119,161,48,95
ENSMUSG00000000982,766,3574,4616,1607,5182,227,113,106,189
ENSMUSG00000000983,521,71,49,0,0,0,0,0,0
ENSMUSG00000001014,907,21,130,112,763,1591,826,39.87,97.06
ENSMUSG00000001016,1973,4047,9257,5041,15235,3640,1448,188.82,239.53
ENSMUSG00000001017,2415.03,3377.99,7915,2971,9872,2305,1809,364,461
ENSMUSG00000001018,1548.36,1140,2086,913,2339,292,210,73.18,50.47
ENSMUSG00000001020,498,345,200,161,193,225,124,172,121
ENSMUSG00000001021,712,7,0,0,0,0,0,4,0
ENSMUSG00000001023,426.5,0,0,0,0,0,0,0,0
ENSMUSG00000001025,719,764,372,103,84,441,170,275,438
ENSMUSG00000001027,3520.5,0,0,0,11,0,26,0,0
ENSMUSG00000001029,900.59,490,995,647,1903,104,58,42,61
ENSMUSG00000001034,3207.31,177,195,272,966,170,62,46,71
ENSMUSG00000001036,821,15,0,1,36,0,1,0,0
ENSMUSG00000001039,690,11,45,4,81,0,0,0,0
ENSMUSG00000001052,2071.41,1661,2254,1150,4995,403,155,192,227
ENSMUSG00000001053,2367,254,319,157,404,0,53,8,0
ENSMUSG00000001054,1599.37,547,701,436,933,80,184,73,96
ENSMUSG00000001056,1019.4,963,1356,1493,6145,265,126,83,37
ENSMUSG00000001062,1251.46,368,528,208,776,134,106,7,9
ENSMUSG00000001065,2514.28,416,438,290,911,465,317,62.87,99.84
ENSMUSG00000001076,874,0,0,0,0,0,0,0,0
ENSMUSG00000001082,1149.99,842,1440,887,3132,103,138,60,211
ENSMUSG00000001089,7299.15,883,1455,722,2288,237,116,10,50
ENSMUSG00000001095,2412,4,0,0,0,31,0,9,0
ENSMUSG00000001098,2974.74,2733,4918,2423,6325,799,395,53.25,30.44
ENSMUSG00000001100,1693.33,1251,2412,1386,4978,323,30,49,177
ENSMUSG00000001103,1325.5,0,0,14,0,0,0,0,0
ENSMUSG00000001105,727.74,1159,1960,1186,3281,363,510,92,144
ENSMUSG00000001119,2512.5,0,0,0,0,0,1,7,13
ENSMUSG00000001120,1397.36,174,524,172,995,0,0,0,0
ENSMUSG00000001123,1504.7,1223,3482,3583,8291,796,228,768,1171
ENSMUSG00000001127,1681.61,1078,1827,949,2484,472,299,109,230
ENSMUSG00000001128,1168.21,239,150,66,320,406,197,92,67
ENSMUSG00000001131,858,0,0,0,0,0,0,1,0
ENSMUSG00000001134,689.33,273.71,267.92,328,451,81,96,39,45
ENSMUSG00000001138,4420.4,566,1511,308,2129,219,197,148,221
ENSMUSG00000001143,3078.35,287,461,333,874,119,150,75,100
ENSMUSG00000001150,6382,1619,2802,2093,7079,1086,925,146,226
ENSMUSG00000001151,9530,5323,10188,5944,19976,15812,10926,201,257
ENSMUSG00000001155,1770.33,0,0,0,0,0,0,0,0
ENSMUSG00000001156,4662,1828,2757,669,2194,11660,6764,3400,5248
ENSMUSG00000001157,2477.61,976,1621,1001,3472,315,369,77,69
ENSMUSG00000001158,818.07,815,1550,1025,3890,1598,654,58,130
ENSMUSG00000001166,2291,305,112,102,70,166,167,13,115
ENSMUSG00000001168,1509,0,0,0,0,0,0,0,0
ENSMUSG00000001173,4274.85,2824,5165,2091,7173,77,80,195,442
ENSMUSG00000001175,1590.35,13818,23458,16298,40487,6154,2951,1103.68,1567
ENSMUSG00000001211,3551.85,608,1106,406,1046,523,491,26,126
ENSMUSG00000001225,1845,0,0,0,0,0,0,0,0
ENSMUSG00000001227,3847,97,84,137,382,66,1,1,4
ENSMUSG00000001228,3521.55,5396.32,12566.61,7497.41,23511.14,9643.87,6645.5,412.9,502
ENSMUSG00000001229,3509,439,823,785,2121,461,242,136,256
ENSMUSG00000001240,587.42,38,0,5,0,0,0,12,0
ENSMUSG00000001247,2033,62,53,0,87,0,22,1,34.35
ENSMUSG00000001248,3253.34,3160,6137,1566,3905,546,237,67,154
ENSMUSG00000001249,745.33,33,259,273,426,0,0,25,7
ENSMUSG00000001260,4771,0,0,0,0,0,0,0,0
ENSMUSG00000001270,1478,91,124,44,39,142,150,35,32
ENSMUSG00000001280,7665.67,9197,14613,7831,28152,11610,6955,516,1135
ENSMUSG00000001281,2469.42,1067,1441,1105,2225,553,288,88,247
ENSMUSG00000001285,1278.71,541.89,1711.3,748.49,1852.68,376,105,24.14,24.31
ENSMUSG00000001288,2718,126,354,49,432,194,77,7,21
ENSMUSG00000001289,856.22,2496.2,4114.13,2225.4,5266.23,942,387,202.86,257.69
ENSMUSG00000001300,4324,15,73,0,20,0,18,0,0
ENSMUSG00000001305,1462.53,1778,4371,2721,7428,369,188,49,80
ENSMUSG00000001313,1370.24,84,154,52,160,0,0,1,0
ENSMUSG00000001323,2752.33,316,690,205,779,409,101,88.36,117.05
ENSMUSG00000001333,2186,0,3,2,0,0,0,0,0
ENSMUSG00000001334,2763,0,17,0,0,22,10,0,0
ENSMUSG00000001348,1349,45,6,68,71,1583,869,77,61
ENSMUSG00000001349,2368,0,0,0,0,0,0,0,0
ENSMUSG00000001366,1565.51,1630,2633,1278,4443,5091,3417,2130,3176
ENSMUSG00000001376,2190.7,1481,2491,1394,4156,528,284,58,90
ENSMUSG00000001380,1987,1266,3080,2512,6315,2905,2267,167,215
ENSMUSG00000001383,2257,3123,5414,2958,9940,1757,840,391,323
ENSMUSG00000001403,967,653,2525,1825,5250,16568,6056,912,1206
ENSMUSG00000001415,3411.43,2418,4537,2738,7933,4398,2527,317,298
ENSMUSG00000001416,1695.7,7505,17186,8946,27899,1963,767,203,708
ENSMUSG00000001418,1484.4,513,607,392,1276,160,185,133,111
ENSMUSG00000001419,2870.46,1250,2237,1723,5442,693,417,410.39,647.19
ENSMUSG00000001420,791,8,57,0,171,56,22,1,0
ENSMUSG00000001424,2512.93,6009,8902,5131,17089,514,610,146,310
ENSMUSG00000001435,5063,21,28,0,45,0,13,0,0
ENSMUSG00000001436,2059.12,429,1144,347,1935,105,32,27,6
ENSMUSG00000001440,3402.51,14787,36271,19588,56876,16928,10219,816,971
ENSMUSG00000001441,1725.05,1267,1800,1257,3687,550,591,148,231
ENSMUSG00000001444,2488,35,27,0,58,0,0,0,0
ENSMUSG00000001445,1708,295,666,361,1106,82,83,48,76
ENSMUSG00000001467,3817.54,1229,3504,1108,3548,150,239,62,52
ENSMUSG00000001472,2889.78,4916,7319,3839,10474,1122,869,214,285
ENSMUSG00000001473,1757,217,213,130,242,0,0,13,10
ENSMUSG00000001482,3082.55,2578,5720,1915,5380,162,226,100,258
ENSMUSG00000001493,2228,0,0,0,0,0,0,0,0
ENSMUSG00000001494,2066,0,0,0,0,0,0,0,0
ENSMUSG00000001496,2525.5,0,0,0,0,0,0,0,0
ENSMUSG00000001497,4166,6,0,0,0,0,22,61,145
ENSMUSG00000001504,1015,0,0,0,0,0,0,0,0
ENSMUSG00000001506,5930,1,0,0,0,238,58,6,0
ENSMUSG00000001507,1157.99,61,71,0,13,0,5,0,0
ENSMUSG00000001508,1115.6,0,0,0,0,0,0,0,0
ENSMUSG00000001510,2607,9,0,0,0,0,0,0,0
ENSMUSG00000001517,3662.93,562,1006,518,2374,5103,3136.03,241,230
ENSMUSG00000001518,2426.06,443,571,257,970,232,76,19,106
ENSMUSG00000001520,1468,2,0,0,3,0,0,0,8
ENSMUSG00000001521,3395,25,123,0,38,98,87,4,0
ENSMUSG00000001524,1409.35,240,581,452,932,40,38,16,19
ENSMUSG00000001525,2465.9,27773,58575,33488,106733,43220,20111,2071,3301
ENSMUSG00000001542,3647,765,2098,1250,3590,2934,1282,689,1449
ENSMUSG00000001552,2276.58,288,158,89,319,205,57,16,34
ENSMUSG00000001555,2584,12,24,0,0,0,0,0,0
ENSMUSG00000001558,932,22,27,0,0,0,0,0,0
ENSMUSG00000001566,2131.5,0,0,0,0,0,0,0,0
ENSMUSG00000001569,4882,1197,2840,1674,5687,368,317,46,37
ENSMUSG00000001576,2771.26,1569,3249,1462,4749,84,115,101,209
ENSMUSG00000001583,569.12,23,33,0,1,452,218,62.24,79.7
ENSMUSG00000001588,2288.82,5012,6756,2389,7516,529,227,111,103
ENSMUSG00000001604,1251,12,0,0,0,0,0,0,0
ENSMUSG00000001622,1233.33,0,0,0,0,0,0,0,0
ENSMUSG00000001627,1372.28,2582,4741,2041,7012,570,456,88,306
ENSMUSG00000001630,4550,258.96,588,90.15,405.85,297,164,15,14
ENSMUSG00000001632,4034.02,1853,2718,1796,6229,3000,1820,192,299
ENSMUSG00000001642,1424.33,2280.65,3060.46,2617.62,7283.76,314.14,202,44.33,344.28
ENSMUSG00000001655,2461,0,0,0,0,0,0,0,0
ENSMUSG00000001656,2021,0,0,0,0,0,0,0,0
ENSMUSG00000001657,2045.5,0,0,0,0,0,0,0,0
ENSMUSG00000001661,1005,0,0,0,0,0,0,0,0
ENSMUSG00000001663,733.76,42,98,8,12,324,184,14,118
ENSMUSG00000001665,1880,298,390,62,543,0,3,3,1
ENSMUSG00000001666,635.6,274,480,252,1222,0,0,2,15
ENSMUSG00000001670,1566.5,0,0,0,0,0,0,0,0
ENSMUSG00000001672,1443.67,0,0,0,0,0,0,0,0
ENSMUSG00000001674,2112.27,1562.46,3127.03,2786.82,8518.64,327.03,284.6,124,187.23
ENSMUSG00000001687,2661.6,1127,2454,791,2284,596,338,112,155
ENSMUSG00000001700,2605,252,370,103,189,174,68,21,8
ENSMUSG00000001707,1032,618,1804,1816,4189,207,478,53,25
ENSMUSG00000001729,2527.86,3012,4787,2826,8508,1090,555,274,293
ENSMUSG00000001739,1200.53,129,17,34,106,59,50,70,46
ENSMUSG00000001741,3132.14,5106,7198,3232,8702,1038,442,147,186.52
ENSMUSG00000001750,1101.66,1547,2846,923,2298,561,232,181,241
ENSMUSG00000001751,2221.75,584,564,166,842,116,108,27,29
ENSMUSG00000001755,2121.79,585,958,411,1835,72,73,54,74
ENSMUSG00000001761,3779,1774,2752,1731,4438,3,33,42,82
ENSMUSG00000001763,2120.04,127,331,541,1856,33983,20489,2057,2788
ENSMUSG00000001767,3428,2651,6825,2852,10396,2569,1408,338,240
ENSMUSG00000001768,4641,384,611,233,454,101,86,94,143
ENSMUSG00000001773,2593.5,0,0,0,0,0,0,0,0
ENSMUSG00000001774,2205,2187,4700,2520,6489,695,389,137,255
ENSMUSG00000001783,1989.34,5613,9689,5391,13363,786,803,47,136
ENSMUSG00000001785,2199.82,1797,3856,2622,6933,315,297,221,333
ENSMUSG00000001786,2970.17,953,2158,1015,3161,4821,3979,799.87,1253
ENSMUSG00000001794,1301.16,3605,5989,2181,6722,1533,621,428,729
ENSMUSG00000001802,2316.75,0,0,0,21,0,0,0,0
ENSMUSG00000001804,3478,0,0,0,0,0,0,0,0
ENSMUSG00000001815,2809.5,0,0,0,0,0,0,0,0
ENSMUSG00000001819,2483,0,0,0,0,0,0,0,0
ENSMUSG00000001823,2534,0,0,0,0,0,0,0,0
ENSMUSG00000001827,805.82,0,0,0,0,0,0,0,0
ENSMUSG00000001829,2790.76,809,1662,1124,2874,66,194,3,3
ENSMUSG00000001833,2533,9692,21359,11190,30325,6951,4453,605,1088
ENSMUSG00000001844,1100.91,436,1103,553,1686,237,192,33,129
ENSMUSG00000001847,2315.03,2908,4848,2632,8416,2349,1192,1084,1565
ENSMUSG00000001855,3474.64,1609,4044,2276,8537,3049,1475,268,400
ENSMUSG00000001864,3117,42,85,14,116,0,0,0,0
ENSMUSG00000001865,1449,817,810,2887,7738,379,272,325,873
ENSMUSG00000001870,4082.78,36,100,161,545,0,84,10,0
ENSMUSG00000001891,1879.74,1579,2625,1270,3192,565,230,148,441
ENSMUSG00000001901,2444,0,41,0,0,0,1,0,0
ENSMUSG00000001909,1374.98,970,1832,1414,3490,425,162,27,85
ENSMUSG00000001910,4300,2717.72,5500.63,3017.93,9806.11,1503,576.69,286,291
ENSMUSG00000001911,3628.62,1027,2539,834,2783,1957,941,170.7,282
ENSMUSG00000001918,2498.85,1524,1884,893,4703,16368,8879,5664,8549
ENSMUSG00000001924,3146.2,7245,13364,8068,24408,3276,1752,531,917
ENSMUSG00000001930,3744.87,312,630,910,2691,1616,930,124,198
ENSMUSG00000001942,3433,1182,2153,592,1953,277,105,25,46
ENSMUSG00000001943,1170,14,35,0,0,0,0,0,0
ENSMUSG00000001946,1865,288,677,76,160,0,0,2,0
ENSMUSG00000001948,689,170,74,117,126,0,59,0,0
ENSMUSG00000001962,1404.11,611,1635,774,2794,783,493,85,115
ENSMUSG00000001964,1093.98,1049.55,2173.75,1112,2957.95,408.04,371.53,114.26,226.04
ENSMUSG00000001983,1383,170,388,391,739,173,59,7.28,8
ENSMUSG00000001985,8973,0,0,0,0,0,0,0,52
ENSMUSG00000001986,4082.96,1492,1331,2447,8323,183,127,191,203
ENSMUSG00000001988,2091,0,0,0,0,0,0,0,0
ENSMUSG00000001995,6365,211,141,54,276,104,59,32,13
ENSMUSG00000001998,3587.71,895,1800,1099,2420,762,762,49,111
ENSMUSG00000001999,1191.53,388,717,631,1402,605,451,89,12
ENSMUSG00000002006,3632.84,311,262,275,574,0,0,1,30
ENSMUSG00000002007,1427,0,0,0,0,98,40,5,0
ENSMUSG00000002010,1220.63,2470,5378,3493,9843,1446,945,292,568
ENSMUSG00000002012,1492,93,184,23,11,0,0,2,0
ENSMUSG00000002014,872.9,1462,1955,1487,4338,688,415,192,603
ENSMUSG00000002015,1219,2911,4429,2697,9572,1482,692,226,503
ENSMUSG00000002017,2341.02,672,1459,648,2877,140,268,26,53
ENSMUSG00000002020,6470,21,0,0,0,84,59,2,3
ENSMUSG00000002028,14513.18,5117,6215,3777,12889,4921,3495,537,1035
ENSMUSG00000002031,1138.58,667,749,444,1495,333,100,135,333
ENSMUSG00000002032,2448,5,33,17,58,0,0,0,0
ENSMUSG00000002033,625.48,56,161,0,51,63,148,21,0
ENSMUSG00000002043,806.12,249,217,298,783,53,27,28,43
ENSMUSG00000002052,6488,4014,8391,4700,13399,2918,2058,284,316.73
ENSMUSG00000002055,3125.55,1637,3745,2018,7451,22510,14032,221,255
ENSMUSG00000002057,3214,0,0,0,0,0,0,0,0
ENSMUSG00000002058,1186.02,416,393,239,1162,122,110,78,103
ENSMUSG00000002059,1368,18,39,26,56,110,19,7,0
ENSMUSG00000002064,1107.92,695,1032,836,1934,463,98,62,90.27
ENSMUSG00000002068,1839.51,189,919,1139,2792,5015,2840,205,181
ENSMUSG00000002076,597.78,13,0,3,0,0,0,0,0
ENSMUSG00000002083,1814,41,166,18,174,27,30,9,0
ENSMUSG00000002100,4150.33,0,73,10,18,0,0,3,0
ENSMUSG00000002102,1314.29,3733,6393,4689,12981,2265,2546,136,194
ENSMUSG00000002103,4511.28,686,760,435,1897,171,283,108.97,14.46
ENSMUSG00000002104,939.11,9,57,68,81,46,0,0,0
ENSMUSG00000002105,1444.88,212,385,175,505,29,4,21,1
ENSMUSG00000002107,4518.07,9278,14468,7785,26509,1180,746,598,1386
ENSMUSG00000002108,1802,5,0,2,16,0,24,7,11
ENSMUSG00000002109,1833.34,706,1408,409,761,203,161,5.03,28.54
ENSMUSG00000002111,1393.9,1064,1434,1247,3433,701,262,410,448
ENSMUSG00000002129,4815.25,2201,4716,3526,9259,1968,1187,200,314
ENSMUSG00000002147,3491.84,2348,4635,1839,6303,872,636,164,212
ENSMUSG00000002190,2293,7,2,39,20,681,213,9,15
ENSMUSG00000002204,1503.75,1398,1906,877,2820,371,198,287,416.93
ENSMUSG00000002205,996.57,772,1422,645,1695,518,414,122,190
ENSMUSG00000002210,1873.26,502,829,640,1557,978,446,70,86
ENSMUSG00000002221,5052,1383,3161,1829,5928,4454,2412,296,277
ENSMUSG00000002222,3655.37,4393,8382,4365,14500,6327,3654,998,1102
ENSMUSG00000002227,3460,449,750,206,911,135,23,19,27
ENSMUSG00000002228,1721,0,0,0,51,0,0,0,0
ENSMUSG00000002233,1079,12,11,0,38,82,0,0,0
ENSMUSG00000002240,1318.5,0,0,0,0,0,0,0,0
ENSMUSG00000002249,2503.57,21,39,0,0,0,0,0,0
ENSMUSG00000002250,2406.21,119,170,99,286,109,0,3,12
ENSMUSG00000002257,2234.53,3488,5162,2927,9055,661,280,56,122
ENSMUSG00000002265,8694,1,0,0,0,0,0,0,0
